sheet,row,column,value,char_count,codepoints
Sheet1,2,구분,[일반원칙] 간장용제,8,U+AC04×1;U+BC18×1;U+C6A9×1;U+C6D0×1;U+C77C×1;U+C7A5×1;U+C81C×1;U+CE59×1
Sheet1,2,세부인정기준 및 방법,"1. 허가사항 범위 내에서 투여 시 요양급여를 인정함 2. 허가사항 중 간질환에 투여하는 경우에는 아래와 같은 기준으로 투여시 요양급여를 인정하며, 동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 대상환자 1) 투여개시 AST(Aspartate Transaminase) 또는 ALT(AlanineTransaminase) 수치가 60U/L이상인 경우 또는 AST 또는 ALT 수치가 40~60U/L인 경우는 3개월 이상 40U/L 이상으로 지속되는 경우 2) 투여 중 AST 또는 ALT 수치가 40U/L 미만이라 할지라도 환자의 상태나 투여소견에 따라 지속투여 인정 ※ 간암, 간경변 환자가 간염을 동반한 경우에도 동일한 기준 적용 나. 투여방법 1) 이담제를 포함하여 경구제 2종 이내 인정 2) ""국민건강보험 요양급여의 기준에 관한 규칙 [별표 1] 요양급여의 적용기준 및 방법 제3호 나목. 주사""의 조건에 적합한 경우에 한하여 비경구제 1종과 경구제 1종 인정 3. 항바이러스제(Lamivudine, Clevudine, Telbivudine, Entecavir, Adefovir, Tenofovir disoproxil, Tenofovir alafenamide, Besifovir, Sofosbuvir, Ledipasvir+ Sofosbuvir, Elbasvir+Grazoprevir, Glecaprevir+ Pibrentasvir 경구제, Sofosbuvir+ Velpatasvir 경구제, Sofosbuvir+Velparxsvir+Voxilaparevir 경구제,인터페론제제, 페그인터페론제제)와 병용투여 시 1종은 약값 전액을 환자가 부담토록 함 (고시 제2022-250호, '22.11.1.)",325,U+203B×1;U+AC00×9;U+AC04×4;U+AC12×2;U+AC15×1;U+AC19×1;U+AC1C×2;U+AC74×2;U+ACAC×1;U+ACBD×13;U+ACE0×1;U+ACFC×1;U+AD00×1;U+AD6C×6;U+AD6D×1;U+ADDC×1;U+ADF8×1;U+AE09×4;U+AE30×5;U+B098×3;U+B0B4×2;U+B294×9;U+B2F4×3;U+B300×1;U+B3C4×2;U+B3D9×3;U+B418×1;U+B530×1;U+B610×4;U+B77C×3;U+B798×2;U+B7EC×1;U+B85C×2;U+B85D×2;U+B860×2;U+B97C×3;U+B9CC×1;U+BA70×1;U+BAA9×1;U+BBF8×1;U+BBFC×1;U+BC0F×1;U+BC14×1;U+BC18×1;U+BC29×2;U+BC94×1;U+BC95×2;U+BCC0×1;U+BCC4×1;U+BCD1×1;U+BCF4×1;U+BD80×2;U+BE44×1;U+C0AC×3;U+C0C1×5;U+C11C×1;U+C18C×1;U+C18D×2;U+C218×3;U+C2A4×1;U+C2DC×5;U+C544×2;U+C554×1;U+C561×2;U+C57D×2;U+C591×4;U+C5D0×9;U+C5EC×15;U+C5FC×1;U+C640×2;U+C678×1;U+C694×4;U+C6A9×3;U+C6B0×6;U+C6D4×1;U+C704×1;U+C73C×2;U+C740×2;U+C744×3;U+C758×4;U+C774×8;U+C778×10;U+C77C×1;U+C790×5;U+C801×3;U+C804×2;U+C815×6;U+C81C×14;U+C870×1;U+C885×4;U+C8FC×1;U+C900×5;U+C911×2;U+C9C0×3;U+C9C8×1;U+CE58×3;U+CE59×1;U+D0DC×1;U+D130×2;U+D1A0×2;U+D22C×9;U+D398×3;U+D3EC×1;U+D45C×1;U+D558×4;U+D55C×5;U+D560×1;U+D568×4;U+D569×1;U+D56D×3;U+D5C8×2;U+D5D8×1;U+D638×2;U+D658×6
Sheet1,3,구분,[일반원칙] 경구용 뇌대사개선제 (Neuroprotective agents),13,U+AC1C×1;U+ACBD×1;U+AD6C×1;U+B1CC×1;U+B300×1;U+BC18×1;U+C0AC×1;U+C120×1;U+C6A9×1;U+C6D0×1;U+C77C×1;U+C81C×1;U+CE59×1
Sheet1,3,세부인정기준 및 방법,"각 약제의 허가사항 범위 내에서 아래와 같은 기준으로 투여 시 요양급여 인정하며, 동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 경구용 뇌대사개선제 중 1종만 요양급여를 인정을 원칙으로 함. 나. 개별고시가 있는 약제는 해당 고시기준을 따름. ※ 대상약제 Acetyl L-carnitine HCL, Citicoline, Oxiracetam, Choline alfoscerate, Ibudilast, Ifenprodil tartrate, Nicergoline (고시 제2018-253호, '18.12.1.)",112,U+203B×1;U+AC00×4;U+AC01×1;U+AC12×1;U+AC19×1;U+AC1C×2;U+ACBD×1;U+ACE0×3;U+AD6C×1;U+AE09×2;U+AE30×3;U+B098×1;U+B0B4×1;U+B1CC×1;U+B294×3;U+B2F4×1;U+B2F9×1;U+B300×2;U+B3D9×1;U+B530×1;U+B798×2;U+B85C×2;U+B85D×1;U+B97C×1;U+B984×1;U+B9CC×1;U+BA70×1;U+BC94×1;U+BCC4×1;U+BD80×1;U+C0AC×2;U+C0C1×1;U+C11C×1;U+C120×1;U+C2DC×4;U+C544×2;U+C561×1;U+C57D×4;U+C591×2;U+C5D0×2;U+C5EC×3;U+C640×1;U+C678×1;U+C694×2;U+C6A9×1;U+C6D0×1;U+C704×1;U+C73C×2;U+C740×1;U+C744×3;U+C758×1;U+C774×1;U+C778×3;U+C788×1;U+C790×1;U+C804×1;U+C815×3;U+C81C×5;U+C885×1;U+C900×3;U+C911×1;U+CE59×1;U+D1A0×1;U+D22C×1;U+D558×1;U+D568×2;U+D56D×1;U+D574×1;U+D5C8×1;U+D638×1;U+D658×1
Sheet1,4,구분,[일반원칙] 경구용 만성 B형간염치료제,15,U+AC04×1;U+ACBD×1;U+AD6C×1;U+B8CC×1;U+B9CC×1;U+BC18×1;U+C131×1;U+C5FC×1;U+C6A9×1;U+C6D0×1;U+C77C×1;U+C81C×1;U+CE58×1;U+CE59×1;U+D615×1
Sheet1,4,세부인정기준 및 방법,"1. 허가사항 범위 내에서 아래와 같은 기준으로 투여 시 요양급여를 인정하며, 동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. 다만, 시럽제의 경우는 시럽제의 투여가 반드시 필요한 경우에 한함. - 아 래 - 가. 초치료 시 1) 대상환자 가) HBeAg(+)로서 HBV-DNA≥ 20,000IU/mL 이거나 또는, HBeAg(-)로서 HBV-DNA≥ 2,000IU/mL인 만성활동성 B형간염 환자에서 (1) AST(Aspartate Transaminase) 또는 ALT (Alanine Transaminase)가 80단위 이상 이거나,(2) AST(Aspartate Transaminase) 또는 ALT (Alanine Transaminase)가 40-80단위이면서 간생검(간생검이 곤란할 경우 노829 간섬유화 검사(Liver Fibroscan), 도163 자기공명 탄성도 검사(Magnetic Resonance Elastography)) 에서 중등도 이상의 염증 괴사(A2 이상) 혹은 문맥주변부 섬유화 이상(F2 이상)의 단계를 보이는 환자 나) 간경변, 간세포암종을 동반한 만성활동성 B형간염 환자: HBV-DNA 양성인 경우 - 단, Besifovir는 비대상성 간경변증에 인정하지 아니하며, Tenofovir alafenamide 경구제는 비대상성 간경변증 환자에서 신기능 저하 또는 골다공증이 있는 경우에 요양급여를 인정함. 2) 투여방법 가) Lamivudine, Clevudine, Telbivudine, Entecavir 0.5mg, Adefovir, Tenofovir disoproxil, Tenofovir alafenamide, Besifovir 경구제 중 1종 나) Lamivudine 경구제는 만성 B형간염 치료를 처음으로 시작하는 환자로서 Lamivudine 제제 보다 높은 유전적 장벽(genetic barrier)이 있는 다른 항바이러스제를 사용할 수 없거나 적절하지 않은 경우에 한하며, 투여소견서를 첨부하여야 함. 다) Besifovir 경구제는 L-carnitine 660mg을 함께 투여함. 라) 가. 초치료 시 1) 대상환자 기준조건을 충족하여 Tenofovir alafenamide 또는 Besifovir 경구제로 치료를 시작한 환자가 B형간염 치료 도중 간세포 암종으로 진행한 경우에 한하여 치료 중인 각 약제의 지속투여를 인정함.나. 내성 발현 시 1) 대상환자 Lamivudine, Clevudine, Telbivudine, Entecavir, Adefovir 경구제 사용 후 다음과 같은 기준을 충족 하는 내성 변이종 출현 환자 - 다 음 - 가) 바이러스돌파현상(Viral Breakthrough)※ 의 발현과 B형간염 바이러스 약제내성 돌연변이가 발현된 경우 또는 나) B형간염 바이러스 약제내성 돌연변이가 발현된 경우(사례별로 인정) ※ 바이러스돌파현상(Viral Breakthrough): 항바이러스 치료 중 HBV-DNA가 100배 이상 감소하는 바이러스 반응에 도달했다가 이후 혈청 HBV-DNA가 최저치에서 10배 이상 증가한 경우 
2) 투여방법
| 내성 약제         | 치료약제                                                                                     | 단독요법 | 병용요법                                                                                   |
|-------------------|----------------------------------------------------------------------------------------------|----------|--------------------------------------------------------------------------------------------|
|                   |                                                                                              | entecavir 1mg | tenofovir disoproxil 또는 tenofovir alafenamide | (lamivudine 또는 clevudine 또는 telbivudine) + (adefovir 또는 tenofovir disoproxil) | entecavir 0.5mg + (adefovir 또는 tenofovir disoproxil) | entecavir 1mg + (adefovir 또는 tenofovir disoproxil) |
| **단독내성**      | lamivudine                                                                                   | 인정     | 인정     | 인정     |          |        |
|                   | clevudine                                                                                    | 인정     | 인정     | 인정     |          |        |
|                   | telbivudine                                                                                  | 인정     | 인정     | 인정     |          |        |
|                   | adefovir                                                                                     | 인정     | 인정     | 인정     |          | 인정   |
| **다약제내성**    | entecavir 0.5mg                                                                              |          | 인정     |          | 인정     |        |
|                   | entecavir 1mg                                                                                |          | 인정     |          |          | 인정   |
|                   | adefovir                                                                                     |          | 인정     | 인정주   |          | 인정   |

주) lamivudine(또는 clevudine 또는 telbivudine) 내성 이후 발현한 순차내성에 한해 tenofovir disoproxil 병용요법을 인정함. ○ 나. 내성 발현 시 1) 대상환자 기준조건을 충족 하여 Tenofovir alafenamide 경구제를 투여한 환자가 B형간염 치료 도중 간세포암종으로 진행한 경우에 한하여 Tenofovir alafenamide 경구제의 지속투여를 인정함. 다. 투여연령 및 금기사항 1) Telbivudine: 만 16세 이상 2) Clevudine: 만 18세 이상. 크레아티닌 클리어런스가 60mL/분 미만인 환자는 금기임. 3) Entecavir: 만 2세 이상 4) Adefovir: 만 18세 이상 5) Tenofovir disoproxil: 만 12세 이상 6) Tenofovir alafenamide: 만 18세 이상 7) Besifovir: 만 20세 이상 라. 인터페론과 병용투여 시에는 인터페론만 인정함. 마. Hepatotonics(Carduus marianus ext., Ursodeoxycholic acid 등) 병용투여 시, 항바이러스제를 요양급여(본인 일부부담)하는 경우는 Hepatotonics 약값 전액을 환자가 부담토록 하고, 항바이러스제 약값 전액을 환자가 본인 부담하는 경우는 Hepatotonics를 요양 급여(본인일부부담)토록 함. 2. 허가사항 범위를 초과하여 아래와 같이 투여한 경우에도 요양급여를 인정함. - 아 래 - 가. B형간염으로 간이식을 받은 환자: Lamivudine, Clevudine, Telbivudine, Entecavir 0.5mg, Adefovir, Tenofovir disoproxil 경구제 중 1종(단, Lamivudine 경구제는 만성 B형간염 치료를 처음으로 시작하는 환자로서 Lamivudine 제제보다 높은 유전적 장벽(genetic barrier)이 있는 다른 항바이러스제를 사용할 수 없거나 적절하지 않은 경우에 한하며, 투여소견서를 첨부하여야 함) 나. 간이식 전에 Entecavir 1mg, Adefovir 또는 Tenofovir disoproxil를 투여 받은 환자로서 B형 간염으로 간이식을 받은 환자: Entecavir 1mg, Adefovir, Tenofovir disoproxil 경구제 중 1종 - 단, 가. 초치료 시 1) 대상환자 조건을 충족하여 Tenofovir alafenamide로 치료를 시작한 환자 또는 나. 내성 발현 시 1) 대상환자 조건을 충족하여 Tenofovir alafenamide를 투여한 환자가 B형간염 치료 도중 간이식을 받게 된 경우에 한하여 Tenofovir alafenamide 경구제의 지속투여를 인정함. 다. 소아환자 1) 초치료 시 가) 대상환자: 만 12세 이상 18세 미만 환자 나) 투여방법: Adefovir 경구제 2) 내성 발현 시 가) 대상환자: Lamivudine에 내성변이종이 출현한 만 18세 미만 만성 B형간염 소아환자 나) 투여방법 ○ Lamivudine과 Adefovir의 병용투여 3. 허가사항을 초과하여 B형간염 예방요법으로서 아래와 같은 기준으로 투여 시 요양급여를 인정함. - 아 래 - 가. HBsAg(+) 또는 HBV-DNA(+)로서 B형간염 재활성화 위험이 중등도·고위험군에 해당하는 항암화학요법(cytotoxic chemotherapy) 또는 면역억제요법을 받는 환자에게 투여 시 : 해당 요법 시행 동안 및 요법 종료 후 6개월까지 나. anti-HBc(+)로서 rituximab을 포함하는 요법을 투여하는 환자에게 투여 시 : 해당 요법 시행 동안 및 요법 종료 후 12개월까지 다. HBsAg(-), HBV-DNA(-), anti-HBc(+)로서 조혈모 세포이식을 받는 만성 B형간염 환자에게 투여 시 : 총 18개월 투여까지 라. anti-HBc(+)인 공여자로부터 간을 공여 받는 수혜자 로서 human anti-hepatitisB immunoglobulin 제제를 투여하지 않는 환자에게 투여 시 : 면역억제 요법 시행 동안 및 요법 종료 후 6개월까지 ※ 대상 약제 Lamivudine, Clevudine, Telbivudine, Entecavir, Adefovir, Tenofovir disoproxil 경구제 4. 허가사항을 초과하여 B형간염 예방요법으로서 아래와 같은 기준으로 투여 시 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 3항의 각 투여기간 이후 나. HBsAg(+) 또는 HBV-DNA(+)로서 B형간염 재활성화 위험이 저위험군에 해당하는 항암화학요법(cytotoxic chemotherapy) 또는 면역억제요법을 받는 환자에게 투여하는 경우 ※ 대상 약제 Lamivudine, Clevudine, Telbivudine, Entecavir, Adefovir, Tenofovir disoproxil 경구제 5. B형간염 수직감염 예방 목적으로 아래와 같은 기준으로 투여 시 요양급여를 인정함. - 아 래 -가. 투여대상 ○ HBsAg(+)인 임산부로서 HBV-DNA ≥ 200,000 IU/mL인 경우 나. 투여방법 1) 투여용량: Tenofovir disoproxil 300mg를 1일 1회 경구 투여 2) 투여기간: 임신 24주~32주에 투여를 시작하여 출산 후 최대 12주까지 급여 인정 6. 교체투여는 내성, 치료반응 불충분(부분 바이러스 반응※) 및 무반응(일차 무반응쪽), 임신, 객관적으로 증명된 심한 부작용에는 급여인정하며, 복약 순응도 개선 필요, 비용 효과성 개선 등은 의학적 타당성을 감안하여 사례별로 급여인정함. ※ 최신 대한간학회 만성 B형간염 진료 가이드라인 등을 참고하여야 함. (고시 제2023-37호, '23.3.1.)",1861,U+00B7×1;U+203B×6;U+2265×3;U+25CB×3;U+AC00×34;U+AC01×2;U+AC04×36;U+AC10×3;U+AC12×4;U+AC19×6;U+AC1C×6;U+AC1D×1;U+AC70×4;U+AC74×4;U+AC80×4;U+AC8C×6;U+ACAC×2;U+ACBD×37;U+ACC4×1;U+ACE0×4;U+ACE4×1;U+ACE8×1;U+ACF5×4;U+ACFC×8;U+AD00×1;U+AD34×1;U+AD50×1;U+AD6C×16;U+AD70×2;U+AE08×2;U+AE09×10;U+AE30×14;U+AE4C×5;U+AED8×1;U+B098×16;U+B0B4×15;U+B178×1;U+B192×2;U+B294×53;U+B2A5×1;U+B2C8×1;U+B2CC×1;U+B2E4×14;U+B2E8×8;U+B2EC×1;U+B2F4×6;U+B2F9×5;U+B300×15;U+B3C4×10;U+B3C5×2;U+B3CC×4;U+B3D9×7;U+B41C×4;U+B4DC×2;U+B4F1×5;U+B610×20;U+B77C×4;U+B780×1;U+B798×10;U+B7C9×1;U+B7EC×11;U+B7F0×1;U+B7FD×2;U+B808×1;U+B839×1;U+B840×2;U+B85C×30;U+B85D×4;U+B860×2;U+B8CC×19;U+B978×2;U+B97C×26;U+B9AC×1;U+B9C8×1;U+B9CC×21;U+B9E5×1;U+BA70×5;U+BA74×4;U+BA85×2;U+BAA8×1;U+BAA9×1;U+BB34×2;U+BB38×1;U+BBF8×3;U+BC0F×5;U+BC14×11;U+BC18×7;U+BC1B×8;U+BC1C×8;U+BC29×8;U+BC30×2;U+BC94×2;U+BC95×21;U+BCBD×2;U+BCC0×8;U+BCC4×2;U+BCD1×5;U+BCF4×3;U+BCF5×1;U+BCF8×3;U+BD80×15;U+BD84×3;U+BD88×1;U+BE44×3;U+C0AC×13;U+C0B0×2;U+C0C1×30;U+C0DD×2;U+C11C×21;U+C120×2;U+C12C×2;U+C131×31;U+C138×14;U+C18C×5;U+C18D×3;U+C218×4;U+C21C×2;U+C2A4×12;U+C2DC×30;U+C2DD×5;U+C2E0×4;U+C2EC×1;U+C544×14;U+C548×4;U+C54A×3;U+C554×5;U+C561×4;U+C57C×3;U+C57D×13;U+C591×8;U+C5B4×1;U+C5B5×3;U+C5C6×2;U+C5D0×29;U+C5EC×66;U+C5ED×3;U+C5F0×3;U+C5FC×21;U+C608×3;U+C640×5;U+C678×1;U+C694×25;U+C6A9×11;U+C6B0×18;U+C6D4×4;U+C704×8;U+C720×4;U+C73C×14;U+C740×14;U+C744×25;U+C74C×4;U+C751×6;U+C758×11;U+C774×52;U+C778×49;U+C77C×4;U+C784×4;U+C788×3;U+C790×38;U+C791×6;U+C7A5×2;U+C7AC×2;U+C800×3;U+C801×7;U+C804×7;U+C808×2;U+C815×36;U+C81C×39;U+C870×5;U+C871×5;U+C885×11;U+C8FC×6;U+C900×8;U+C911×10;U+C99D×6;U+C9C0×12;U+C9C1×1;U+C9C4×3;U+CABD×1;U+CC28×2;U+CC38×1;U+CC98×2;U+CCA8×2;U+CCAD×1;U+CCB4×1;U+CD08×7;U+CD1D×1;U+CD5C×3;U+CD9C×3;U+CDA9×6;U+CE58×16;U+D06C×1;U+D074×1;U+D0C0×1;U+D0C4×1;U+D130×3;U+D1A0×4;U+D22C×39;U+D2F0×1;U+D30C×2;U+D398×2;U+D3EC×5;U+D544×2;U+D558×37;U+D559×4;U+D55C×21;U+D560×3;U+D568×20;U+D56D×13;U+D574×5;U+D588×1;U+D589×5;U+D5C8×4;U+D5D8×4;U+D604×12;U+D608×2;U+D615×19;U+D61C×1;U+D638×1;U+D639×1;U+D654×6;U+D658×35;U+D65C×4;U+D68C×2;U+D6A8×1;U+D6C4×8
Sheet1,5,구분,"[일반원칙] 경구용 서방형제제 (정제, 캡슐제, 과립제) 분할 처방·투여 기준",29,U+00B7×1;U+ACBD×1;U+ACFC×1;U+AD6C×1;U+AE30×1;U+B9BD×1;U+BC18×1;U+BC29×2;U+BD84×1;U+C11C×1;U+C290×1;U+C5EC×1;U+C6A9×1;U+C6D0×1;U+C77C×1;U+C815×1;U+C81C×5;U+C900×1;U+CC98×1;U+CE59×1;U+CEA1×1;U+D22C×1;U+D560×1;U+D615×1
Sheet1,5,세부인정기준 및 방법,"1. 모든 경구용 서방형 제제는 원칙적으로 분쇄(crush) 해서는 아니됨. 2. 경구용 서방형 제제 중 정제 및 캡슐제의 분할(split) 투여는 아래의 경우에만 인정함. - 아 래 - ○ 허가사항에 분할투여가 명시되어 있는 경우 (고시 제2020-69호, '20.4.1.)",80,U+25CB×1;U+AC00×2;U+ACBD×4;U+ACE0×1;U+AD6C×2;U+B294×4;U+B2C8×1;U+B418×1;U+B428×1;U+B4E0×1;U+B798×2;U+B85C×1;U+B9CC×1;U+BA85×1;U+BAA8×1;U+BC0F×1;U+BC29×2;U+BD84×3;U+C0AC×1;U+C11C×3;U+C1C4×1;U+C290×1;U+C2DC×2;U+C544×3;U+C5B4×1;U+C5D0×2;U+C5EC×2;U+C6A9×2;U+C6B0×2;U+C6D0×1;U+C73C×1;U+C758×2;U+C778×1;U+C788×1;U+C801×1;U+C815×2;U+C81C×7;U+C911×1;U+CE59×1;U+CEA1×1;U+D22C×2;U+D560×2;U+D568×1;U+D56D×1;U+D574×1;U+D5C8×1;U+D615×2;U+D638×1
Sheet1,6,구분,[일반원칙] 경구용 항뇌전증약,12,U+ACBD×1;U+AD6C×1;U+B1CC×1;U+BC18×1;U+C57D×1;U+C6A9×1;U+C6D0×1;U+C77C×1;U+C804×1;U+C99D×1;U+CE59×1;U+D56D×1
Sheet1,6,세부인정기준 및 방법,"허가사항 중 뇌전증에 투여하는 경우에는 아래와 같은 기준으로 투여 시 요양급여를 인정하며, 동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 투여 시기1) 일반적으로 두 번째 뇌전증 발작 후 한 가지 약물로 시작함. 2) 위험인자가 있는 경우 첫 발작이라도 약물 투여를 인정함 (예: 뇌파의 이상소견, 비정상적인 신경학적 소견, 심각한 뇌손상, 재발작의 위험 등) 나. 병용요법 1) 단독약물의 최고 용량에 발작이 충분히 조절되지 않거나, 부작용으로 증량이 어려울 때 작용 기전이 다른 약제의 병용을 고려함. 2) 난치성 뇌전증 등에는 최대 4종 이내 병용투여를 인정하며, 4종 초과 시 투여소견서를 첨부하여야 함. (※ Pregabalin을 항뇌전증약 목적으로 사용할 경우 병용개수에 포함됨) 다. 투여 중단 뇌전증 종류 및 환자 상태에 따라 계획하여야 하며, 일반적으로 2~5년 발작이 없을 때 약물 중단을 고려함. (고시 제2019-191호, '19.9.1.)",313,U+203B×1;U+AC00×5;U+AC01×1;U+AC12×1;U+AC19×1;U+AC1C×1;U+AC70×1;U+ACAC×3;U+ACBD×4;U+ACC4×1;U+ACE0×4;U+ACFC×1;U+AE09×1;U+AE30×4;U+B098×2;U+B09C×1;U+B0B4×1;U+B144×1;U+B1CC×7;U+B294×5;U+B2E4×2;U+B2E8×3;U+B2F4×1;U+B300×1;U+B3C4×1;U+B3C5×1;U+B3D9×1;U+B418×1;U+B428×1;U+B450×1;U+B4F1×2;U+B530×1;U+B54C×2;U+B77C×2;U+B798×2;U+B7C9×2;U+B824×3;U+B85C×6;U+B85D×1;U+B958×1;U+B978×1;U+B97C×4;U+BA70×3;U+BAA9×1;U+BB3C×4;U+BC0F×1;U+BC18×2;U+BC1C×5;U+BC88×1;U+BC95×1;U+BCD1×4;U+BD80×3;U+BD84×1;U+BE44×1;U+C0AC×2;U+C0C1×4;U+C11C×1;U+C131×1;U+C18C×3;U+C190×1;U+C218×1;U+C2DC×5;U+C2E0×1;U+C2EC×1;U+C544×2;U+C54A×1;U+C561×1;U+C57C×2;U+C57D×7;U+C591×1;U+C5B4×1;U+C5C6×1;U+C5D0×7;U+C5EC×10;U+C608×1;U+C640×1;U+C678×1;U+C694×2;U+C6A9×8;U+C6B0×3;U+C6B8×1;U+C704×2;U+C73C×5;U+C740×1;U+C744×5;U+C758×4;U+C774×8;U+C778×6;U+C77C×2;U+C788×1;U+C790×3;U+C791×8;U+C7AC×1;U+C801×5;U+C804×7;U+C808×1;U+C815×5;U+C81C×2;U+C870×1;U+C885×3;U+C900×2;U+C911×3;U+C99D×6;U+C9C0×2;U+C9F8×1;U+CCA8×1;U+CCAB×1;U+CD08×1;U+CD5C×2;U+CDA9×1;U+CE58×1;U+D0DC×1;U+D1A0×1;U+D22C×7;U+D30C×1;U+D3EC×1;U+D558×6;U+D559×1;U+D55C×2;U+D560×1;U+D568×7;U+D56D×2;U+D5C8×1;U+D5D8×2;U+D638×1;U+D658×2;U+D68D×1;U+D6C4×1;U+D788×1
