page,match,classification,suggested_fix,reason,context
31,0.1g,suspect_micro_as_g,0.1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(0.1g) → ㎍(마이크로그램) 오인 가능.,"opyl 외용제 에이베리스점안액0.002% 고시 제2021-26호 21.2.1. 177 Rebamipide 0.1g/5ml 외용제 레바아이점안액2% 등, 레바아이점안액(1회용) 등 고시 제2023-197호 23.11.1."
184,0.1g,suspect_micro_as_g,0.1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(0.1g) → ㎍(마이크로그램) 오인 가능.,"투여 시 요양급여를 인정함. (고시 제2021-26호, ’21.2.1.) [131] Rebamipide 0.1g/5ml 외용제 (품명: 레바아이점안액2% 등, 레바아이점안액(1회용) 등) 허가사항 범위(성인 안구건"
221,3g,suspect_micro_as_g,3 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(3g) → ㎍(마이크로그램) 오인 가능.,"❘ 구 분 세부인정기준 및 방법 및 관해 유지). - 다 음 - 가) 신증범위 단백뇨(＞3g/24h 또는 ＞3g/g)가 있는 경우 나) 최소 3개월동안 보존적인 치료에도 불구하고, 단백뇨가"
221,3g,suspect_micro_as_g,3 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(3g) → ㎍(마이크로그램) 오인 가능.,"부인정기준 및 방법 및 관해 유지). - 다 음 - 가) 신증범위 단백뇨(＞3g/24h 또는 ＞3g/g)가 있는 경우 나) 최소 3개월동안 보존적인 치료에도 불구하고, 단백뇨가 1g/24h이상(또"
222,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"환 환자로서 스테로이드 치료 중 재발이 있는 경우 1) 투여용량: 600-1200mg/m2/d (최대 2g/d) 2) 투여기간: 2년 동안 재발없이 임상적으로 안정화 된 후에, 단계적인 감량 후 중단"
306,3g,suspect_micro_as_g,3 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(3g) → ㎍(마이크로그램) 오인 가능.,"nuclear DNA 변이가 확인된 경우 나. 인정용량 : 30∼100mg/kg/day, 1일 최대 3g (고시 제2022-207호, ’22.9.1.) [219] Milrinone 주사제 (품명: 프리마코주)"
375,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"분 세부인정기준 및 방법 - 다만, 동 조건에 해당하여 약제를 투여하다 중단한 경우 Hb 10-11g/dL(또는 Hct 30-33%)의 유지를 위하여 재투여 시 요양급여를 인정함. 2) Hb 11g/"
375,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"-11g/dL(또는 Hct 30-33%)의 유지를 위하여 재투여 시 요양급여를 인정함. 2) Hb 11g/dL 또는 Hct 33%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부하여 야"
375,12g,suspect_micro_as_g,12 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(12g) → ㎍(마이크로그램) 오인 가능.,"종양 환자의 빈혈치료 1) Hb 10g/dL 이하 또는 Hct 30% 이하인 경우 2) Hb 12g/dL 또는 Hct 36%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부 하여야"
375,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 헤모글로불린(Hb) 10g/dL 이하 또는 헤마토크리트(Hct) 30% 이하이면서 Erythropoietin 500mU/ml 이하인
