codepoint,char,count,name_hint
U+C5EC,여,6204,
U+C774,이,5206,
U+AC00,가,4693,
U+C81C,제,4659,
U+C5D0,에,4629,
U+B294,는,3936,
U+D558,하,3932,
U+C778,인,3873,
U+D22C,투,3796,
U+ACBD,경,3640,
U+C758,의,3601,
U+C815,정,3120,
U+AE30,기,3091,
U+C0AC,사,3085,
U+C2DC,시,3029,
U+C0C1,상,2943,
U+C131,성,2826,
U+B85C,로,2795,
U+C790,자,2725,
U+C6B0,우,2575,
U+D568,함,2526,
U+D658,환,2385,
U+B97C,를,2333,
U+C6A9,용,2115,
U+D55C,한,2028,
U+C57D,약,1940,
U+C9C0,지,1911,
U+C694,요,1855,
U+BD80,부,1846,
U+C744,을,1832,
U+C99D,증,1803,
U+C544,아,1771,
U+ACE0,고,1708,
U+C73C,으,1634,
U+C704,위,1633,
U+B098,나,1620,
U+C804,전,1616,
U+D56D,항,1613,
U+C8FC,주,1552,
U+C11C,서,1545,
U+B2E4,다,1543,
U+AE09,급,1527,
U+C591,양,1498,
U+B3D9,동,1485,
U+ACFC,과,1401,
U+B0B4,내,1362,
U+B4F1,등,1352,
U+D608,혈,1339,
U+CE58,치,1286,
U+C911,중,1278,
U+B300,대,1263,
U+B798,래,1253,
U+C900,준,1217,
U+C18C,소,1213,
U+B8CC,료,1213,
U+C218,수,1207,
U+C801,적,1181,
U+D638,호,1087,
U+C740,은,1082,
U+B3C4,도,1080,
U+AD00,관,1061,
U+D5C8,허,1034,
U+BC94,범,1026,
U+C5FC,염,975,
U+C7A5,장,970,
U+AC04,간,950,
U+B9CC,만,944,
U+D6C4,후,928,
U+AC1C,개,919,
U+AD6C,구,910,
U+C2E0,신,887,
U+BC95,법,852,
U+BCD1,병,851,
U+B2E8,단,844,
U+B610,또,842,
U+C640,와,825,
U+C74C,음,804,
U+D488,품,791,
U+BC18,반,777,
U+BA85,명,767,
U+BC0F,및,745,
U+C77C,일,740,
U+BC29,방,734,
U+C561,액,731,
U+BA70,며,721,
U+C6D0,원,708,
U+C138,세,704,
U+C9C4,진,697,
U+C678,외,692,
U+C6D4,월,690,
