codepoint,char,count,name_hint
U+000A,"
",552,
U+00B7,·,455,
U+203B,※,322,
U+25CB,○,295,
U+FFFD,�,94,REPLACEMENT CHARACTER
U+2265,≥,93,
U+300D,」,79,
U+300C,「,78,
U+2460,①,42,
U+0009,	,39,
U+2461,②,37,
U+2264,≤,23,
U+2462,③,19,
U+2463,④,19,
U+2464,⑤,15,
U+00B0,°,12,
U+3002,。,11,
U+2468,⑨,10,
U+2192,→,9,
U+00B2,²,8,
U+304F,く,7,
U+2300,⌀,7,
U+2465,⑥,6,
U+00B5,µ,6,
U+2013,–,6,
U+03B1,α,4,
U+2466,⑦,4,
U+2467,⑧,4,
U+00D7,×,4,
U+2076,⁶,4,
U+2018,‘,3,
U+2019,’,3,
U+338D,㎍,2,
U+00B9,¹,2,
U+4E00,一,1,
U+300E,『,1,
U+75D2,痒,1,
U+75B9,疹,1,
U+2082,₂,1,
U+03BC,μ,1,
U+02BC,ʼ,1,
U+2020,†,1,
U+3001,、,1,
U+81D3,臓,1,
U+5668,器,1,
U+5168,全,1,
U+809D,肝,1,
U+571F,土,1,
U+80C3,胃,1,
